title,attributes
The Hunt,"cannes film festival (1), karlovy vary international film festival (1), paris cinéma (1), new zealand international film festival (1), toronto international film festival (1), zurich film festival (1), filmekimi (1), vancouver international film festival (1), pac film festival (1), bfi london film festival (1), são paulo international film festival (1), leiden international film festival (1), blank (37), leeds international film festival (1), taipei golden horse film festival (1), french speaking region (1), european film week (1), limited (4), palm springs international film festival (2), göteborg international film festival (1), german speaking region (1), portland international film festival (1), belgrade film festival (1), skopje film festival (1), newport beach international film festival (1), seattle international film festival (1), provincetown international film festival (1), durban international film festival (1), tallgrass film festival (1), blu-ray release (1), traverse city film festival (1), cine europa film festival (1), golden rooster and hundred flowers film festival (1), golden apricot international film festival (1), european film festival in vietnam (1), danish film weeks (1), tv premiere (1), göteborg film festival (2), lumière film festival (1), tirana international film festival (1), re-release (1), dvd premiere (1), internet (1)"
Brave,"seattle international film festival (1), premiere (3), blank (77), hollywood, california (1), taormina film festival (1), edinburgh international film festival (1), paris cinema festival (1), 3-d version (1), dvd premiere (1)"
The Amazing Spider-Man,"tokyo (1), premiere (3), limited (1), amsterdam (1), blank (84), german speaking region (1), imax version (1), buenos aires (1), french speaking region (1), italian speaking region (1), pakistani film, media & arts festival (1), internet (1)"
Ted,"blank (74), buenos aires (1), premiere (1), deauville film festival (1), limited (1), blu ray release (1), dvd premiere (3), internet (1), tv premiere (1)"
Spring Breakers,"venice film festival (1), premiere (6), toronto international film festival (1), tokyo international film festival (1), oslo international film festival (1), international film festival rotterdam (1), göteborg international film festival (1), paris (1), glasgow film festival (1), luxembourg city film festival (1), blank (37), cph: pix (1), limited (4), night visions film festival (1), los angeles, california (1), skopje film festival (1), buenos aires (1), taipei film festival (1), dvd premiere (4), sarajevo film festival (1), blu-ray release (1), athens film festival (1), rio de janeiro international film festival (1), cologne conference - international film and tv festival (1), dvd and blu-ray premiere (1), munich international film festival (1), athens avant garde film festival (1), roffa mon amour (1)"
Oz the Great and Powerful,"hollywood, california (1), premiere (3), tokyo (1), belgrade (1), blank (66), skopje (1), tv release (1), dvd premiere (1)"
The Call,"blank (50), buenos aires (1), premiere (1), belgrade blockbuster review (1), dvd premiere (2), dvd and blu-ray premiere (1), blu-ray (1)"
The Croods,"berlin international film festival (1), blank (81), belgrade blockbuster review (1), dvd and blu-ray premiere (1), dvd premiere (1), internet (1)"
Olympus Has Fallen,"los angeles, california (1), premiere (4), blank (68), london (1), buenos aires (1), vienna (1), dvd premiere (1)"
The Place Beyond the Pines,"toronto international film festival (1), glasgow film festival (1), luxembourg city film festival (1), blank (43), limited (1), dvd premiere (3), off plus camera (1), mostra breves e inéditos (1), blu-ray release (1)"
The Host,"blank (54), belgrade (1), premiere (2), brussels international fantastic film festival (1), buenos aires (1), internet (1)"
G.I. Joe: Retaliation,"seoul (1), premiere (4), london (1), blank (57), belgrade (1), hollywood, california (1), caracas, venezuela (1), blu ray release (1), dvd premiere (1), internet (1)"
Trance,"london (1), premiere (1), blank (39), limited (2), imagine film festival (1), dvd premiere (2), blu-ray premiere (1)"
Before Midnight,"sundance film festival (1), berlin international film festival (1), south by southwest film festival (1), international istanbul film festival (1), tribeca film festival (1), indielisboa international film festival (1), san francisco international film festival (1), los angeles, california (1), premiere (3), blank (43), limited (2), sydney film festival (1), paris (1), bucharest (1), taipei film festival (1), belgrade (1), dvd premiere (4), blu-ray release (1), santa barbara film festival (1), beijing international film festival (1), re-release (2), las palmas de gran canaria international film festival (1)"
Evil Dead,"south by southwest film festival (1), blank (65), imagine film festival (1), future film festival (1), cinemadrome film festival (1), fright nights (1), dvd premiere (1), beyond fest (1), director's cut (1)"
Oblivion,"buenos aires (1), premiere (7), dublin (1), london (1), taipei (1), brussels international fantastic film festival (1), internet (1), blank (65), los angeles, california (1), tokyo (1), beijing (1), blu-ray and dvd (1), 4k uhd (1), tokyo international film festival (1)"
42,"hollywood, california (1), premiere (1), blank (8), video on demand (1), dvd premiere (10), blu-ray and dvd (1), internet (2), limited (1), shanghai international film festival (1), tokyo international film festival (1)"
Iron Man 3,"paris (1), premiere (4), london (1), blank (72), los angeles, california (1), belgrade (1), dvd and blu-ray premiere (1), imax re-release (1), disney+ premiere (1), re-release (1)"
Pain & Gain,"miami, florida (1), premiere (1), blank (70), internet (3), german speaking region (1), french speaking region (1), deauville american film festival (1), italian speaking region (1), dvd premiere (2)"
Mud,"cannes film festival (1), arras film festival (1), sundance film festival (1), south by southwest film festival (1), atlanta film and video festival (1), alès film festival (1), dallas international film festival (1), riverrun international film festival (1), new york city, new york (1), premiere (1), limited (4), blank (22), dvd premiere (1), beirut international film festival (1), stockholm international film festival (1), dvd and blu-ray premiere (1)"
Star Trek Into Darkness,"london (1), premiere (3), blank (71), german speaking region (1), limited (2), hollywood, california (1), imax (1), ulaanbaatar (1), french speaking region (1), italian speaking region (1), buenos aires (1), imax version (1), beijing international film festival (1)"
The Great Gatsby,"new york city, new york (1), premiere (2), blank (73), buenos aires (1), french speaking region (1), cannes film festival (1), german speaking region (1), italian speaking region (1), dvd premiere (1), re-release (1)"
The Hangover Part III,"los angeles, california (1), premiere (2), blank (69), buenos aires (1), french speaking region (1), german speaking region (1), internet (1)"
Now You See Me,"new york city, new york (1), premiere (2), los angeles, california (1), blank (70), closing film (1), shanghai international film festival (1), extended version (1), tokyo (1), blu-ray release (1)"
After Earth,"tokyo (1), premiere (2), seoul (1), seattle international film festival (1), blank (73), sydney film festival (1), ulaanbaatar (1), tv premiere (1)"
