title,imdb_id
Freelance,tt15744298
The Promised Land,tt20561198
Trolls Band Together,tt14362112
Leo,tt15654328
Five Nights at Freddy's,tt4589218
Priscilla,tt22041854
The Holdovers,tt14849194
Godzilla Minus One,tt23289160
The Marvels,tt10676048
Dream Scenario,tt21942866
Tiger 3,tt18411490
Wish,tt11304740
The Hunger Games: The Ballad of Songbirds & Snakes,tt10545296
May December,tt13651794
Next Goal Wins,tt10767052
Saltburn,tt17351924
Thanksgiving,tt1448754
Animal,tt13751694
Eileen,tt5198890
Migration,tt6495056
Robot Dreams,tt13429870
Wonka,tt6166392
Poor Things,tt14230458
Ferrari,tt3758542
Aquaman and the Lost Kingdom,tt9663764
Anyone But You,tt26047818
Dunki,tt15428134
Salaar: Part 1 - Ceasefire,tt13927994
The Iron Claw,tt21064584
All of Us Strangers,tt21192142
The Color Purple,tt1200263
Night Swim,tt9682428
The Beekeeper,tt15314262
Kinds of Kindness,tt22408160
Bad Boys: Ride or Die,tt4919268
The Watchers,tt26736843
Inside Out 2,tt22022452
The Bikeriders,tt21454134
Despicable Me 4,tt7510222
A Quiet Place: Day One,tt13433802
Kalki 2898-AD,tt12735488
MaXXXine,tt22048412
Longlegs,tt23468450
Twisters,tt12584954
Deadpool & Wolverine,tt6263850
Trap,tt26753003
Borderlands,tt4978420
It Ends with Us,tt10655524
Alien: Romulus,tt18412256
Strange Darling,tt22375054
Beetlejuice Beetlejuice,tt2049403
The Substance,tt17526714
Transformers One,tt8864596
The Wild Robot,tt29623480
I'm Still Here,tt14961016
Mufasa: The Lion King,tt13186482
Sonic the Hedgehog 3,tt18259086
The Brutalist,tt8999762
Babygirl,tt30057084
Nosferatu,tt5040012
Den of Thieves 2: Pantera,tt8008948
Game Changer,tt14209618
Wolf Man,tt4216984
Presence,tt28249919
Companion,tt26584495
Flight Risk,tt10078772
Ne Zha 2,tt34956443
Heart Eyes,tt32558992
Bridget Jones: Mad About the Boy,tt32063050
Captain America: Brave New World,tt14513804
Chhaava,tt27922706
The Monkey,tt27714946
Last Breath,tt14403504
Mickey 17,tt12299608
The Ugly Stepsister,tt29344903
Black Bag,tt30988739
Novocaine,tt29603959
Snow White,tt6208148
The Alto Knights,tt21815562
The Assessment,tt32768323
A Working Man,tt9150192
Death of a Unicorn,tt28443655
The Woman in the Yard,tt31314296
A Minecraft Movie,tt3566834
Eden,tt23149780
Fight or Flight,tt13652286
The Amateur,tt0899043
Drop,tt32149847
Sinners,tt31193180
Until Dawn,tt30955489
Thunderbolts*,tt20969586
Karate Kid: Legends,tt1674782
Friendship,tt30505698
Final Destination Bloodlines,tt9619824
Lilo & Stitch,tt11655566
Mission: Impossible - The Final Reckoning,tt9603208
The Phoenician Scheme,tt30840798
Bring Her Back,tt32246771
Ballerina,tt7181546
The Life of Chuck,tt12908150
Materialists,tt30253473
28 Years Later,tt10548174
Elio,tt4900148
KPop Demon Hunters,tt14205554
M3GAN 2.0,tt26342662
"Sorry, Baby",tt32843349
Jurassic World Rebirth,tt31036941
Smurfs,tt18069420
Superman,tt5950044
Eddington,tt31176520
I Know What You Did Last Summer,tt4045450
Demon Slayer: Kimetsu no Yaiba Infinity Castle,tt32820897
The Fantastic 4: First Steps,tt10676052
The Secret Agent,tt27847051
The Bad Guys 2,tt30017619
Mahavatar Narsimha,tt34365591
Together,tt31184028
The Naked Gun,tt3402138
Weapons,tt26581740
Freakier Friday,tt31956415
Nobody 2,tt28996126
Highest 2 Lowest,tt31194612
Witchboard,tt2256055
Americana,tt17676734
Afterburn,tt1210027
Honey Don't!,tt30645201
Splitsville,tt33247023
Red Rain,tt37997249
Caught Stealing,tt1493274
The Roses,tt31973693
Lokah Chapter 1: Chandra,tt33372494
The Conjuring: Last Rites,tt22898462
Downton Abbey: The Grand Finale,tt31888477
The Long Walk,tt10374610
Gabby's Dollhouse: The Movie,tt32214143
A Big Bold Beautiful Journey,tt13650700
HIM,tt20990442
The Senior,tt15431864
One Battle After Another,tt30144839
Detective Pikachu,tt5884052
The Accountant 2,tt7068946
Tár,tt14444726
WALL-E,tt0910970
