title,blank,internet,total,internet_total_ratio,internet_dominance
The A-Team,66,1,74,0.01,no
Pirates of the Caribbean: On Stranger Tides,66,0,75,0.00,no
Oz the Great and Powerful,66,0,75,0.00,no
Maleficent,66,1,75,0.01,no
Ted 2,66,1,69,0.01,no
10 Cloverfield Lane,66,0,71,0.00,no
The Secret Life of Pets,66,2,72,0.03,no
Allied,66,0,74,0.00,no
Beauty and the Beast,66,0,72,0.00,no
Star Wars: The Last Jedi,66,0,74,0.00,no
Crazy Rich Asians,66,3,77,0.04,no
Captain Marvel,66,0,75,0.00,no
Lightyear,66,2,69,0.03,no
The Dark Knight,67,1,111,0.01,no
Source Code,67,1,79,0.01,no
Thor: The Dark World,67,0,76,0.00,no
American Hustle,67,0,76,0.00,no
Blended,67,1,73,0.01,no
Now You See Me 2,67,0,75,0.00,no
Rogue One: A Star Wars Story,67,0,81,0.00,no
Ghost in the Shell,67,0,75,0.00,no
Spider-Man: Homecoming,67,1,76,0.01,no
The Dark Tower,67,0,70,0.00,no
Annabelle Comes Home,67,0,71,0.00,no
Spider-Man: Far From Home,67,0,72,0.00,no
The Lion King,67,1,73,0.01,no
The King's Man,67,0,71,0.00,no
Sonic the Hedgehog 2,67,2,73,0.03,no
Inside Out 2,67,2,77,0.03,no
Olympus Has Fallen,68,0,77,0.00,no
Transformers: Age of Extinction,68,0,77,0.00,no
Tomorrowland,68,0,72,0.00,no
The BFG,68,2,81,0.02,no
The Fate of the Furious,68,0,73,0.00,no
Christopher Robin,68,0,74,0.00,no
Aladdin,68,0,79,0.00,no
Toy Story 4,68,0,75,0.00,no
Eternals,68,1,77,0.01,no
Puss in Boots: The Last Wish,68,1,78,0.01,no
Kung Fu Panda 2,69,0,88,0.00,no
The Hangover Part III,69,1,76,0.01,no
Teenage Mutant Ninja Turtles: Out of the Shadows,69,0,76,0.00,no
Sing,69,1,80,0.01,no
Alita: Battle Angel,69,0,81,0.00,no
Spider-Man: No Way Home,69,1,112,0.01,no
Captain America: Brave New World,69,2,78,0.03,no
Indiana Jones and the Kingdom of the Crystal Skull,70,0,86,0.00,no
Knight and Day,70,0,85,0.00,no
Cowboys & Aliens,70,0,77,0.00,no
Pain & Gain,70,3,81,0.04,no
Now You See Me,70,0,79,0.00,no
Escape Plan,70,0,80,0.00,no
Saving Mr. Banks,70,1,82,0.01,no
300: Rise of an Empire,70,1,78,0.01,no
Jurassic World,70,1,81,0.01,no
The Accountant,70,1,81,0.01,no
Annabelle: Creation,70,0,76,0.00,no
Thor: Ragnarok,70,0,78,0.00,no
Free Guy,70,4,80,0.05,no
The Northman,70,1,79,0.01,no
Kung Fu Panda,71,0,88,0.00,no
Clash of the Titans,71,0,77,0.00,no
Harry Potter and the Deathly Hallows: Part 2,71,0,93,0.00,no
The Hunger Games,71,0,78,0.00,no
Star Trek Into Darkness,71,0,86,0.00,no
World War Z,71,0,81,0.00,no
Hercules,71,0,78,0.00,no
It,71,2,99,0.02,no
Deadpool 2,71,0,92,0.00,no
The Woman King,71,2,83,0.02,no
The Little Mermaid,71,1,77,0.01,no
The Karate Kid,72,2,87,0.02,no
The Last Airbender,72,0,80,0.00,no
Cars 2,72,0,79,0.00,no
Green Lantern,72,0,77,0.00,no
Snow White and the Huntsman,72,0,79,0.00,no
Iron Man 3,72,0,84,0.00,no
Monsters University,72,0,82,0.00,no
The Book Thief,72,0,88,0.00,no
Sin City: A Dame to Kill For,72,1,78,0.01,no
